Trigger_Word,Dimension,Affected_Group,Severity,Explanation
bossy,Gendered leadership tropes,Women,High,"Often used to penalize assertive women. Try ""decisive"" or ""leadership-oriented""."
abrasive,Tone policing,Women/BIPOC,Medium,Disproportionately used against women and minorities in performance reviews.
aggressive,Tone policing,Black professionals / Women,Medium,Can carry racial or gendered undertones when describing communication styles.
shrill,Tone policing,Women,High,A highly gendered term used to dismiss women's voices or opinions.
hysterical,Tone policing,Women,High,Historically rooted in sexist medical diagnoses to invalidate women's emotions.
emotional,Tone policing,Women,High,Often used to undermine the logical arguments of female professionals.
feisty,Tone policing,Women,Low,Diminutive term rarely used for adult men; undermines professional authority.
bubbly,Tone policing,Women,Low,Can reduce a professional's identity to a stereotypical feminine trait.
culture fit,Cultural coding,Racial/ethnic minorities,High,"Often used as a gatekeeping term to hire people similar to the existing team. Try ""values fit""."
native English speaker,Cultural coding,Non-native speakers,High,Discriminatory against fluent speakers from non-English speaking backgrounds.
articulate,Cultural coding,BIPOC,High,When directed at BIPOC professionals
urban,Cultural coding,Black/African American,Medium,Often used as a coded demographic dog-whistle.
ghetto,Classism & racism,Lower-income / BIPOC,High,Highly inappropriate and rooted in racial and socioeconomic segregation.
thug,Racial coding,Black professionals,High,Heavily racially coded term often used to criminalize Black men.
tribe,Cultural appropriation,Indigenous peoples,Medium,"Appropriates Indigenous culture. Try ""team"""
spirit animal,Cultural appropriation,Indigenous peoples,Medium,"Appropriates Indigenous spiritual traditions. Try ""kindred spirit"" or ""patronus""."
powwow,Cultural appropriation,Indigenous peoples,Medium,"Disrespectful to sacred Indigenous gatherings. Try ""huddle"" or ""quick meeting""."
peanut gallery,Racist origins,Black professionals,Medium,"Historically referred to the segregated sections of theaters. Try ""audience""."
master,Racial coding,BIPOC,Medium,"Rooted in slavery (especially in tech e.g. master/slave architecture). Try ""primary""."
slave,Racial coding,BIPOC,High,Rooted in slavery. In tech
blacklist,Racial coding,Black professionals,Low,"Associates ""black"" with bad/forbidden. Try ""blocklist"" or ""deny list""."
whitelist,Racial coding,Black professionals,Low,"Associates ""white"" with good/permitted. Try ""allowlist"" or ""safe list""."
grandfathered,Racist origins,BIPOC,Medium,"Originates from laws designed to prevent Black Americans from voting. Try ""legacy status""."
digital native,Ageism,Older workers,High,Implies older workers cannot understand modern technology.
young,Ageism,Older workers,High,Can violate age discrimination laws if used in job descriptions.
energetic,Ageism,Older workers,Medium,Often used as a coded way to request younger applicants.
energy,Ageism,Older workers,Low,Sometimes used to filter out older
overqualified,Ageism,Older workers,Medium,A common excuse used to avoid hiring older
recent grad,Ageism,Older workers,High,Excludes older candidates who may be equally qualified.
recent grads,Ageism,Older workers,High,Excludes older candidates who may be equally qualified.
entry-level,Ageism,Older workers,Low,Usually fine
fresh blood,Ageism,Older workers,High,Highly informal and implies existing (often older) staff are stale.
tech-savvy,Ageism,Older workers,Low,Sometimes used as a coded filter for younger demographics.
mature,Ageism,Older workers,Low,Can be patronizing when used to describe older employees.
dinosaur,Ageism,Older workers,Medium,Used to insult older employees or imply they are obsolete.
boomer,Ageism,Older workers,Medium,Generational slang used derogatorily to dismiss older colleagues.
rockstar,Corporate bro-culture,Women / Non-traditional,Medium,Implies a toxic
rockstars,Corporate bro-culture,Women / Non-traditional,Medium,Implies a toxic
ninja,Corporate bro-culture,Women / Non-traditional,Medium,Tech jargon that obscures actual job duties and implies bro-culture.
ninjas,Corporate bro-culture,Women / Non-traditional,Medium,Tech jargon that obscures actual job duties.
hustler,Corporate bro-culture,Neurodivergent,Low,Glorifies burnout and overworking.
hustlers,Corporate bro-culture,Neurodivergent,Low,Glorifies burnout and overworking.
guru,Corporate bro-culture,Women / Non-traditional,Low,"Appropriates a spiritual term for corporate hype. Try ""expert""."
wizard,Corporate bro-culture,Women / Non-traditional,Low,Jargon that alienates non-traditional tech backgrounds.
jedi,Corporate bro-culture,Women / Non-traditional,Low,Exclusionary pop-culture jargon in job descriptions.
crush it,Corporate bro-culture,Neurodivergent,Low,Hyper-aggressive language that can alienate certain work styles.
killer,Corporate bro-culture,Trauma-affected,Low,"Violent language used casually in business. Try ""exceptional""."
dominate,Corporate bro-culture,Women / Non-traditional,Low,"Hyper-masculine business language. Try ""lead"" or ""succeed""."
alpha,Corporate bro-culture,Women / Non-traditional,Medium,Toxic masculine framing of leadership.
war room,Bro-culture & militaristic,Trauma-affected,Low,"Militaristic language. Try ""situation room"" or ""command center""."
sanity check,Ableism,Mental health disabilities,Medium,"Trivializes mental illness. Try ""quick check"" or ""confidence check""."
crazy,Ableism,Mental health disabilities,Low,"Stigmatizes mental health. Try ""wild"" or ""unbelievable""."
blind spot,Ableism,Visually impaired,Low,"Uses disability as a metaphor for ignorance. Try ""oversight""."
wheelchair bound,Ableism,People with disabilities,High,"Reduces a person to their mobility device. Try ""wheelchair user""."
OCD,Ableism,Neurodivergent,High,"Trivializes a serious clinical disorder. Try ""detail-oriented"" or ""meticulous""."
bipolar,Ableism,Mental health disabilities,High,"Trivializes a clinical diagnosis. Try ""fluctuating"" or ""unpredictable""."
lame,Ableism,People with physical disabilities,High,"Historically used against people with mobility issues. Try ""uncool"" or ""bad""."
